num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
1920,Ланта-Банк,,,,,,,,,,,,18.0,1.0,18.11.2016,,,
1343,Левобережный,,,,,,,,,13.0,1.0,02.05.2017,,,,,,
1242,Липецккомбанк,,,,,,,,,,,24.01.2017,,,,,,16.03.2015
2707,Локо-Банк,7.0,7.0,1.0,0.0,0.0,,2.0,06.06.2017,,,25.06.2015,,,,,,
3395,МБА-Москва,5.0,5.0,1.0,0.0,0.0,,2.0,25.07.2017,,,,,,,,,
2268,МТС Банк,,,,-1.0,-1.0,,,03.10.2016,11.0,,17.07.2017,,,03.08.2011,,,
1136,Майкопбанк,,,,,,,,,,,31.01.2014,,,,,,
3265,Мегаполис,,,,,,,,,,,15.10.2015,,,,,,
197,Международный Банк Санкт-Петербурга (МБСП),,,,,,,,,,,28.06.2010,,,,,,
2524,Международный Коммерческий Банк,,,,,,,,,,,05.06.2017,,,,,,
2618,Международный Финансовый Клуб,4.0,4.0,,0.0,0.0,,2.0,07.07.2017,7.0,1.0,09.06.2017,,,,,,
752,Межрегиональный промышленно-строительный банк,,,,,,,,,4.0,0.0,13.06.2017,,,,,,
2440,Металлинвестбанк,6.0,6.0,2.0,0.0,0.0,,2.0,30.05.2017,12.0,1.0,26.07.2017,19.0,1.0,28.12.2016,,,
2877,Металлург,,,,,,,,,,,,,,,,,
2443,Меткомбанк (Каменск-Уральский),5.0,5.0,2.0,0.0,0.0,,2.0,29.11.2016,,,27.09.2016,20.0,1.0,22.12.2016,,,
1927,Модульбанк,,,,,,,,,,,08.12.2015,,,,,,
77,Морской Банк,5.0,5.0,0.0,0.0,0.0,,2.0,18.03.2016,15.0,1.0,01.07.2015,16.0,1.0,13.12.2016,,,
912,Московский Индустриальный Банк,,,,,,,,,,,13.01.2016,,,,,,
1978,Московский Кредитный Банк,7.0,7.0,2.0,0.0,0.0,,2.0,09.06.2017,,,26.06.2017,,,,,,
1751,Московский Областной Банк,,,,,,,,,,,05.03.2010,,,16.05.2014,,,
2646,Московско-Парижский Банк,,,,,,,,,,,11.07.2017,,,,,,
3365,Москоммерцбанк,,,,,,,,,,,,18.0,0.0,04.03.2016,,,
2103,Муниципальный Камчатпрофитбанк,,,,,,,,,,,27.03.2017,,,,,,
1966,НБД-Банк,8.0,8.0,1.0,0.0,0.0,,2.0,04.04.2017,,,04.07.2017,,,,,,
3124,НС Банк,,,,-1.0,-1.0,,,19.04.2016,8.0,0.0,06.06.2017,18.0,0.0,20.05.2016,,,23.12.2013
1309,Народный Банк Тувы,,,,,,,,,,,12.01.2017,,,,,,
2876,Народный Инвестиционный Банк,,,,,,,,,,,,,,,,,
3279,Национальный Банк «Траст»,,,,,,,,,,,31.08.2015,,,,,,
1949,Национальный Банк Сбережений,,,,,,,,,,,,,,,,,
3421,Национальный Стандарт,5.0,5.0,1.0,0.0,0.0,,2.0,18.03.2016,12.0,1.0,02.05.2017,,,,,,27.05.2015
1926,Невастройинвест,,,,,,,,,8.0,1.0,30.11.2015,,,,,,
1068,Невский Банк,,,,,,,,,5.0,0.0,14.04.2017,,,,,,
2156,Нефтепромбанк,,,,,,,,,,,28.11.2016,,,,,,
702,Нико-Банк,,,,,,,,,12.0,1.0,31.05.2017,,,,,,
635,НоваховКапиталБанк,,,,,,,,,,,08.02.2017,,,,,,
2546,Новикомбанк,6.0,6.0,,0.0,0.0,,2.0,06.09.2016,8.0,2.0,19.04.2017,,,,,,
3492,Новое Время,,,,,,,,,,,30.12.2016,,,,,,
467,Новопокровский,,,,,,,,,9.0,1.0,29.08.2017,,,,,,25.01.2013
902,Норвик Банк,,,,,,,,,,,,17.0,,28.02.2014,,,
2766,ОТП Банк,,,,-1.0,-1.0,,,11.05.2016,15.0,1.0,07.07.2017,,,,,,
1118,Объединенный Кредитный Банк,,,,,,,,,,,23.05.2016,,,,,,
3269,Оренбург,,,,,,,,,,,,17.0,1.0,14.12.2016,,,
2655,ПИР Банк,,,,,,,,,,,,,,,,,17.03.2016
518,Первомайский,,,,,,,,,4.0,0.0,28.04.2017,,,,,,
965,Первоуральскбанк,,,,,,,,,8.0,1.0,30.05.2017,,,,,,
2551,Петербургский Социальный Коммерческий Банк,6.0,6.0,1.0,0.0,0.0,,2.0,18.03.2016,12.0,1.0,03.08.2017,,,,,,
1189,Плюс Банк,,,,,,,,,,,15.06.2017,,,12.08.2015,,,
2534,Пойдем!,,,,,,,,,,,,,,,,,
1788,Почтобанк,,,,,,,,,,,10.11.2014,,,,,,
2758,Прайм Финанс,,,,,,,,,6.0,0.0,04.05.2017,,,,,,
3001,Приморье,,,,,,,,,,,,,,,7.0,1.0,22.11.2016
212,Прио-Внешторгбанк,,,,,,,,,15.0,1.0,10.07.2014,,,,,,
784,Проинвестбанк,,,,,,,,,,,26.04.2017,,,,,,
3251,Промсвязьбанк,8.0,8.0,0.0,0.0,0.0,,2.0,17.11.2015,15.0,1.0,30.06.2017,21.0,2.0,14.04.2016,,,
874,Прохладный,,,,,,,,,,,,,,,,,
3450,РЕСО Кредит,,,,,,,,,13.0,1.0,29.05.2017,,,,,,
3401,РТС-Банк,,,,,,,,,8.0,,20.03.2015,,,,,,
3351,РФИ Банк,,,,,,,,,,,23.08.2017,,,,,,
1166,Радиотехбанк,,,,,,,,,,,28.12.2016,,,,,,
3292,Райффайзенбанк,9.0,10.0,1.0,0.0,0.0,,4.0,26.04.2017,,,,,,,,,
3354,Ренессанс Кредит,5.0,5.0,0.0,0.0,0.0,,2.0,11.06.2015,,,,,,,,,
3137,РосЕвроБанк,,,,-1.0,-1.0,,,25.02.2016,,,,21.0,1.0,03.08.2016,,,
2272,Росбанк,9.0,10.0,1.0,0.0,0.0,,3.0,21.02.2017,,,,,,,,,
