num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
1184.0,ГринКомБанк,,,,,,,,,,,,,,,,,
256.0,Гута-Банк,,,,,,,,,отозван,,19.06.2017,,,,отозван,,30.03.2012
843.0,Дальневосточный Банк,B2,B2,стабильный,NP,NP,,E+,29.11.2016,ruBBB,стабильный,13.09.2017,,,,,,
1972.0,Девон-Кредит,,,,,,,,,отозван,,26.06.2017,,,,,,
3338.0,ДельтаКредит,Ba2,Ba1,стабильный,NP,NP,,D-,21.02.2017,,,,,,,,,
3061.0,Джей энд Ти Банк,,,,,,,,,ruBBB,стабильный,07.06.2017,,,,,,
857.0,Долинск,,,,,,,,,,,,,,,отозван,,07.06.2013
492.0,Донкомбанк,,,,,,,,,отозван,,27.03.2017,,,,,,
2897.0,Евроазиатский Инвестиционный Банк,,,,,,,,,ruB-,стабильный,26.06.2017,,,,,,
2672.0,Еврокапитал-Альянс,,,,,,,,,B++,стабильный,22.10.2015,,,,,,
3161.0,Екатеринбург,,,,,,,,,,,,A-,,22.01.2014,,,
1809.0,Ермак,,,,,,,,,A,стабильный,13.08.2015,,,,,,
918.0,Запсибкомбанк,,,,,,,,,ruA,стабильный,30.05.2017,,,,,,
817.0,Заречье,,,,,,,,,отозван,,17.03.2017,,,,отозван,,26.08.2014
1614.0,Заубер Банк,,,,,,,,,отозван,,08.08.2016,,,,,,
574.0,Земкомбанк,,,,,,,,,отозван,,15.08.2016,,,,,,
2900.0,Земский Банк,,,,,,,,,отозван,,02.06.2017,,,,,,
3255.0,Зенит,Ba3,Ba3,негативный,NP,NP,,E+,10.02.2017,,,,,,,,,
2495.0,ИНГ Банк,Ba2,Baa3,стабильный,NP,P-3,,E+,21.02.2017,,,,,,,,,
2609.0,ИТ Банк,,,,,,,,,,,,,,,B++,стабильный,18.02.2016
1763.0,Иваново,,,,,,,,,отозван,,08.02.2017,,,,,,
646.0,Ижкомбанк,,,,,,,,,ruB+,стабильный,10.08.2017,A,стабильный,02.10.2015,A,стабильный,27.10.2016
3010.0,Инвестсоцбанк,,,,,,,,,,,,,,,,,
2763.0,Инвестторгбанк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,28.01.2016,,,,отозван,,10.12.2015,,,
600.0,Интерпрогрессбанк,,,,,,,,,отозван,-,13.11.2015,,,,,,
3266.0,Интерпромбанк,B3,B3,стабильный,NP,NP,отозван,E+,18.03.2016,,,,A,стабильный,26.12.2016,,,
2802.0,Йошкар-Ола,,,,,,,,,,,,,,,отозван,,25.03.2016
2851.0,К2 Банк,,,,,,,,,отозван,,05.09.2016,,,,,,
2148.0,КОР,,,,,,,,,отозван,,28.01.2016,,,,,,
1752.0,КС Банк,,,,,,,,,ruBB-,стабильный,19.06.2017,,,,,,
438.0,Камский Коммерческий Банк,,,,,,,,,ruBB+,стабильный,07.06.2017,,,,,,
